,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pevek,81,RU,1562110565,96,69.7,170.27,35.4,12.03
1,Grindavik,75,IS,1562110567,87,63.84,-22.43,53.6,13.87
2,Yeppoon,20,AU,1562110026,64,-23.13,150.74,68.0,8.05
3,San Cristobal,66,HN,1562110569,55,14.68,-86.92,75.0,6.58
4,Carauari,57,BR,1562110571,97,-4.88,-66.9,72.84,3.33
5,Luganville,40,VU,1562110572,78,-15.51,167.18,80.6,3.36
6,Rikitea,100,PF,1562110573,87,-23.12,-134.97,66.72,24.29
7,Port Alfred,61,ZA,1562110302,52,-33.59,26.89,66.0,3.0
8,Airai,80,TL,1562110576,60,-8.93,125.41,77.52,2.62
9,Cape Town,75,ZA,1562110577,93,-33.93,18.42,57.99,17.22
10,Ushuaia,75,AR,1562110579,94,-54.81,-68.31,32.0,10.29
11,Busselton,5,AU,1562110580,80,-33.64,115.35,45.0,18.7
12,Saint George,0,GR,1562110581,64,39.45,22.34,69.8,1.81
13,Kapaa,1,US,1562110583,70,22.08,-159.32,84.2,10.29
14,Hobart,20,AU,1562110584,70,-42.88,147.33,53.01,9.17
15,Hobyo,38,SO,1562110585,76,5.35,48.53,76.08,22.7
16,Liwale,0,TZ,1562110587,87,-9.8,37.92,61.5,6.93
17,Leningradskiy,100,RU,1562110379,96,69.38,178.42,37.56,4.79
18,Coquimbo,0,CL,1562110589,87,-29.95,-71.34,51.8,5.82
19,Tura,7,RU,1562110591,37,64.27,100.22,64.2,6.55
20,Dikson,100,RU,1562110592,91,73.51,80.55,37.38,7.11
21,Faanui,77,PF,1562110593,82,-16.48,-151.75,76.98,32.1
22,Langenburg,54,CA,1562110595,76,50.84,-101.7,61.14,8.19
23,Hilo,1,US,1562110484,45,19.71,-155.08,87.8,13.87
24,Dubbo,0,AU,1562110597,52,-32.25,148.6,46.4,14.99
25,Kodiak,20,US,1562110599,52,39.95,-94.76,91.99,10.29
26,Kaitangata,67,NZ,1562110600,71,-46.28,169.85,59.0,1.01
27,Vaini,100,IN,1562110601,88,15.34,74.49,77.16,4.16
28,Longyearbyen,75,NO,1562110603,76,78.22,15.63,48.2,11.41
29,Punta Arenas,90,CL,1562110604,92,-53.16,-70.91,33.8,10.29
30,Puerto Ayora,75,EC,1562110605,73,-0.74,-90.35,75.2,19.46
31,Avarua,8,CK,1562110421,64,-21.21,-159.78,71.6,13.87
32,Patiya,100,BD,1562110608,87,22.3,91.98,81.84,15.48
33,Porbandar,61,IN,1562110609,85,21.64,69.61,81.84,7.85
34,Nanortalik,88,GL,1562110611,93,60.14,-45.24,36.66,3.87
35,Barrow,21,AR,1562110612,62,-38.31,-60.23,42.06,19.04
36,San Quintin,100,PH,1562110613,81,17.54,120.52,78.96,2.57
37,Castro,40,CL,1562110615,87,-42.48,-73.76,42.8,2.24
38,Vila Velha,40,BR,1562110616,78,-3.71,-38.6,80.6,8.05
39,Chokurdakh,100,RU,1562110617,80,70.62,147.9,42.78,9.8
40,Vagur,1,FO,1562110619,91,61.47,-6.81,48.36,11.99
41,Mezen,71,RU,1562110620,66,65.85,44.24,58.98,4.7
42,Butaritari,43,KI,1562110622,68,3.07,172.79,84.72,7.43
43,Arraial do Cabo,95,BR,1562110623,94,-22.97,-42.02,69.8,4.7
44,Sao Jose da Coroa Grande,32,BR,1562110624,94,-8.9,-35.15,71.04,1.59
45,Narrabri,58,AU,1562110626,53,-30.33,149.78,51.8,4.7
46,Sur,0,OM,1562110627,57,22.57,59.53,85.8,4.68
47,Mlonggo,20,ID,1562110628,73,-6.53,110.7,77.0,3.36
48,Thompson,75,CA,1562110630,81,55.74,-97.86,53.6,9.17
49,Mataura,45,NZ,1562110631,77,-46.19,168.86,55.99,3.0
50,Yatou,100,CM,1562110633,87,3.63,9.81,78.24,17.11
51,Salalah,75,OM,1562110577,88,17.01,54.1,82.4,5.82
52,Albany,75,US,1562110558,69,42.65,-73.75,81.0,5.82
53,Isangel,75,VU,1562110444,69,-19.55,169.27,77.0,2.91
54,Yellowknife,90,CA,1562110638,82,62.45,-114.38,55.4,18.34
55,East London,46,ZA,1562110639,33,-33.02,27.91,59.52,9.62
56,Ust-Ishim,16,RU,1562110640,87,57.69,71.17,60.6,8.41
57,Kattivakkam,40,IN,1562110642,70,13.22,80.32,87.8,5.82
58,Wajir,7,KE,1562110643,70,1.75,40.07,75.18,15.39
59,Beyneu,10,KZ,1562110645,56,45.32,55.19,72.84,26.57
60,Severo-Kurilsk,100,RU,1562110646,97,50.68,156.12,43.32,12.48
61,Abonnema,100,NG,1562110647,89,4.71,6.79,76.98,8.39
62,Namibe,0,AO,1562110649,76,-15.19,12.15,69.6,3.94
63,Tasiilaq,100,GL,1562110650,80,65.61,-37.64,41.0,42.5
64,Nizhniy Ingash,34,RU,1562110651,93,56.2,96.53,58.98,7.23
65,Geraldton,75,CA,1562110653,39,49.72,-86.95,80.6,5.82
66,Iqaluit,20,CA,1562110654,70,63.75,-68.52,44.6,10.29
67,Assisi,0,IT,1562110504,64,43.07,12.61,77.0,4.7
68,Atuona,5,PF,1562110657,78,-9.8,-139.03,80.22,13.09
69,Arkhangelsk,40,RU,1562110659,93,64.54,40.54,53.6,4.47
70,Barbastro,0,ES,1562110660,53,42.04,0.13,77.0,6.93
71,Torbay,75,CA,1562110661,100,47.66,-52.73,57.99,6.93
72,Bermeo,75,ES,1562110663,82,43.42,-2.72,68.0,2.24
73,Pauini,39,BR,1562110664,67,-7.71,-67.0,77.52,3.11
74,Bilhaur,5,IN,1562110665,47,26.84,80.06,92.28,9.86
75,Lebu,75,ET,1562110667,87,8.96,38.73,57.2,9.17
76,Gasa,97,BT,1562110668,89,27.91,89.73,41.52,2.73
77,Shimoni,3,KE,1562110669,95,-4.65,39.38,69.42,6.15
78,Jizan,40,SA,1562110671,67,16.89,42.56,93.2,3.36
79,Quatre Cocos,75,MU,1562110672,93,-20.21,57.76,68.0,4.7
80,Klaksvik,40,FO,1562110674,93,62.23,-6.59,42.8,8.05
81,New Norfolk,20,AU,1562110675,70,-42.78,147.06,53.01,9.17
82,Diego de Almagro,22,CL,1562110677,95,-26.39,-70.05,46.02,1.77
83,Makakilo City,90,US,1562110678,62,21.35,-158.09,89.6,4.7
84,Zhigansk,98,RU,1562110679,67,66.77,123.37,47.64,24.43
85,Ferrol,75,ES,1562110681,88,43.48,-8.23,63.0,5.82
86,Saryg-Sep,100,RU,1562110682,66,51.49,95.55,54.12,2.3
87,Wanning,1,AT,1562110683,52,48.64,13.53,68.0,5.82
88,Lompoc,1,US,1562110689,63,34.64,-120.46,81.0,19.46
89,Saskylakh,42,RU,1562110691,57,71.97,114.09,49.44,5.64
90,Talnakh,0,RU,1562110692,42,69.49,88.39,68.0,6.71
91,Mildura,90,AU,1562110693,87,-34.18,142.16,52.0,8.01
92,Honiara,40,SB,1562110695,83,-9.43,159.96,82.4,2.24
93,Deputatskiy,83,RU,1562110696,76,69.3,139.9,43.86,8.77
94,Bethel,75,US,1562110697,71,60.79,-161.76,60.8,27.51
95,Belaya Gora,72,RU,1562110699,62,68.54,146.19,56.64,12.15
96,Qaanaaq,0,GL,1562110700,47,77.48,-69.36,48.9,2.59
97,Barela,95,IN,1562110702,87,23.1,80.05,77.52,9.98
98,Baicheng,83,CN,1562110703,60,45.61,122.87,74.46,3.6
99,Hals,10,AT,1562110704,52,48.59,13.46,68.0,5.82
100,Casambalangan,100,PH,1562110706,71,18.38,122.13,82.38,2.77
101,Wilhelmshaven,0,DE,1562110707,87,53.53,8.11,55.4,3.36
102,Vila Franca do Campo,58,PT,1562110709,88,37.72,-25.43,68.88,10.04
103,Mecca,0,SA,1562110420,70,21.43,39.83,76.62,5.84
104,Cockburn Town,43,TC,1562110605,78,21.46,-71.14,82.38,9.55
105,Xiangxiang,56,CN,1562110713,79,27.73,112.52,77.88,8.12
106,Kavieng,10,PG,1562110714,74,-2.57,150.8,83.46,10.85
107,Magnitogorsk,90,RU,1562110715,100,53.42,58.98,55.4,2.24
108,Hualmay,24,PE,1562110717,85,-11.1,-77.61,62.94,20.49
109,Codrington,40,AU,1562110718,100,-28.95,153.24,62.6,6.93
110,Pio XII,85,BR,1562110719,91,-3.89,-45.17,73.56,1.3
111,La Ronge,90,CA,1562110721,76,55.1,-105.3,51.8,16.11
112,Gamba,0,CN,1562110722,74,28.28,88.52,41.34,1.63
113,Saint-Philippe,1,CA,1562110724,39,45.36,-73.48,84.2,10.29
114,Bereda,75,ES,1562110725,88,43.27,-7.54,63.0,5.82
115,Bredasdorp,67,ZA,1562110726,59,-34.53,20.04,64.0,17.22
116,Hadejia,92,NG,1562110728,63,12.45,10.04,83.1,14.85
117,Vestmannaeyjar,100,IS,1562110729,94,63.44,-20.27,50.16,15.21
118,Wonthaggi,65,AU,1562110730,96,-38.6,145.59,54.0,3.0
119,Chuy,79,UY,1562110732,75,-33.69,-53.46,52.14,18.75
120,Bluff,0,AU,1562110733,52,-23.58,149.07,69.78,16.44
121,Hithadhoo,100,MV,1562110734,74,-0.6,73.08,83.64,9.64
122,Fairbanks,20,US,1562110736,37,64.84,-147.72,73.0,5.82
123,San Andres,68,PH,1562110737,71,13.32,122.68,84.54,4.07
124,Huarmey,19,PE,1562110738,89,-10.07,-78.15,63.12,21.3
125,Georgetown,40,GY,1562110649,83,6.8,-58.16,82.4,16.11
126,Mocuba,18,MZ,1562110741,99,-16.84,36.99,66.18,1.1
127,Milyutinskaya,99,RU,1562110742,91,48.63,41.67,67.44,5.46
128,Twistringen,0,DE,1562110744,93,52.8,8.64,53.6,2.24
129,Heihe,90,RU,1562110745,100,50.24,127.51,59.0,4.47
130,Palmer,75,AU,1562110747,93,-34.85,139.16,57.99,3.91
131,Nishihara,75,JP,1562110748,73,35.74,139.53,82.99,4.7
132,Sidi Ali,0,DZ,1562110515,88,36.1,0.42,72.48,7.87
133,Hermanus,99,ZA,1562110751,75,-34.42,19.24,64.0,8.01
134,Kalmunai,100,LK,1562110752,79,7.42,81.82,75.0,2.51
135,Aklavik,40,CA,1562110754,59,68.22,-135.01,60.8,8.05
136,Katsuura,75,JP,1562110755,94,33.93,134.5,75.99,3.36
137,San Fernando,20,TT,1562110756,74,10.28,-61.46,82.99,9.17
138,Castle Rock,90,US,1562110758,72,46.27,-122.91,68.0,3.36
139,Upernavik,0,GL,1562110759,83,72.79,-56.15,40.44,9.17
140,Vardo,40,US,1562110760,65,39.62,-77.74,84.0,8.05
141,Mehamn,99,NO,1562110762,96,71.03,27.85,43.5,5.3
142,Jiazi,20,CN,1562110763,100,19.61,110.49,78.8,6.71
143,Ostrovnoy,54,RU,1562110764,82,68.05,39.51,49.98,6.15
144,Hermosillo,5,MX,1562110712,20,29.09,-110.96,105.8,12.75
145,Cherskiy,50,RU,1562110767,56,68.75,161.3,51.42,17.78
146,Bougouni,51,ML,1562110769,74,11.42,-7.49,80.4,11.23
147,Mar del Plata,88,AR,1562110770,87,-46.43,-67.52,33.24,10.11
148,Ponta do Sol,38,BR,1562110772,51,-20.63,-46.0,62.58,4.18
149,Lake City,75,US,1562110773,62,38.03,-107.32,73.4,12.75
150,Angoche,0,MZ,1562110572,96,-16.23,39.91,68.88,1.68
151,Ilulissat,75,GL,1562110775,37,69.22,-51.1,53.6,16.11
152,Khatanga,100,RU,1562110777,44,71.98,102.47,56.28,9.89
153,Port Lincoln,11,AU,1562110778,76,-34.72,135.86,58.26,9.95
154,Port Hardy,20,CA,1562110780,77,50.7,-127.42,62.6,10.29
155,Lata,0,IN,1562110781,67,30.78,78.62,39.0,2.73
156,Merritt Island,1,US,1562110782,70,28.54,-80.67,89.6,4.7
157,Araouane,0,ML,1562110784,7,18.9,-3.53,98.4,7.07
158,Marawi,90,PH,1562110785,86,8.0,124.29,77.0,5.99
159,Tuatapere,67,NZ,1562110489,77,-46.13,167.69,55.99,3.0
160,Manzhouli,31,CN,1562110788,47,49.6,117.43,74.82,11.65
161,Muborak,0,UZ,1562110789,30,39.25,65.15,70.68,10.11
162,Victoria,75,BN,1562110790,94,5.28,115.24,78.8,9.24
163,Sol-Iletsk,1,RU,1562110792,81,51.16,55.0,56.1,7.56
164,Yulara,40,AU,1562110793,37,-25.24,130.99,51.8,10.29
165,Acapulco,75,MX,1562110689,74,16.86,-99.88,87.8,11.41
166,Port Elizabeth,1,US,1562110796,55,39.31,-74.98,89.6,5.82
167,Baykit,31,RU,1562110797,65,61.68,96.39,68.88,7.9
168,Bud,100,NO,1562110798,81,62.91,6.91,46.4,18.34
169,Santa Maria,0,BR,1562110618,46,-16.02,-48.01,71.6,3.36
170,Ribeira Grande,26,PT,1562110801,86,38.52,-28.7,69.6,8.01
171,Wells,73,GB,1562110802,66,51.21,-2.64,57.99,9.17
172,Mbekenyera,0,TZ,1562110804,94,-10.0,38.98,63.48,3.13
173,The Valley,20,AI,1562110524,74,18.22,-63.06,82.99,8.05
174,Baiyin,0,CN,1562110806,100,36.55,104.13,57.2,2.24
175,El Campo,1,US,1562110808,78,29.2,-96.27,82.4,12.75
176,Karratha,39,AU,1562110809,31,-20.74,116.85,67.62,10.25
177,Tigil,97,RU,1562110811,66,57.8,158.67,60.24,11.72
178,Nortelandia,0,BR,1562110812,45,-14.45,-56.8,72.84,5.01
179,Yakeshi,65,CN,1562110813,47,49.28,120.73,70.14,3.67
180,Sindor,100,RU,1562110815,99,62.87,51.9,58.08,3.04
181,Luena,16,AO,1562110816,48,-11.78,19.91,49.26,2.75
182,Teya,75,MX,1562110818,69,21.05,-89.07,82.99,20.8
183,Manaure,20,CO,1562110819,74,11.78,-72.45,84.2,9.17
184,Souillac,54,FR,1562110820,73,45.6,-0.6,70.0,9.17
185,Lom Sak,75,TH,1562110822,94,16.78,101.24,75.2,4.7
186,Veere,0,NL,1562110823,72,51.55,3.67,59.0,5.82
187,Touros,42,BR,1562110825,80,-5.2,-35.46,79.86,13.31
188,Chimbote,9,PE,1562110826,91,-9.08,-78.59,62.76,16.31
189,Nikolskoye,40,RU,1562110827,82,59.7,30.79,57.2,2.24
190,Tiksi,100,RU,1562110829,93,71.64,128.87,37.38,11.16
191,Balkanabat,0,TM,1562110830,49,39.51,54.36,72.66,8.48
192,Rio Grande,52,BR,1562110568,81,-32.03,-52.1,48.72,5.82
193,Sibiti,64,CG,1562110833,91,-3.69,13.35,65.64,3.58
194,Goderich,99,CA,1562110834,90,43.74,-81.71,73.0,5.01
195,Kargil,0,PK,1562110835,39,34.56,76.13,47.1,4.09
196,Cidreira,11,BR,1562110837,68,-30.17,-50.22,53.76,5.5
197,Babu,88,CN,1562110838,92,23.23,104.89,67.62,3.83
198,Olot,20,ES,1562110840,83,42.18,2.49,77.0,2.24
199,Galiakot,63,IN,1562110841,85,23.54,74.01,80.4,6.93
200,Belmonte,9,PT,1562110843,60,40.36,-7.35,63.0,0.83
201,Fare,90,PF,1562110844,79,-16.7,-151.02,76.44,32.46
202,Asyut,0,EG,1562110846,30,27.18,31.19,82.4,6.93
203,Hamilton,75,CA,1562110847,88,43.26,-79.87,80.01,2.24
204,Chifeng,8,CN,1562110849,33,42.27,118.96,74.46,7.83
205,Puerto Escondido,40,MX,1562110850,70,15.86,-97.07,86.0,6.93
206,Waingapu,45,ID,1562110851,78,-9.65,120.26,75.18,13.6
207,Ketchikan,90,US,1562110645,72,55.34,-131.65,66.2,11.41
208,Kloulklubed,90,PW,1562110620,94,7.04,134.26,78.8,9.53
209,Polewali,95,ID,1562110855,83,-4.03,119.8,77.7,9.17
210,Kamaishi,0,JP,1562110857,73,39.28,141.86,71.6,3.36
211,Karla,75,EE,1562110858,87,59.37,24.93,55.4,13.87
212,Salina,75,US,1562110833,41,38.84,-97.61,93.99,14.99
213,Mahebourg,75,MU,1562110861,93,-20.41,57.7,68.0,4.7
214,Zeya,27,RU,1562110863,59,53.74,127.27,66.0,4.99
215,Diamantino,0,BR,1562110864,49,-14.4,-56.44,72.12,5.23
216,Jamestown,1,AU,1562110600,85,-33.21,138.6,51.78,11.52
217,Mayumba,85,GA,1562110867,87,-3.44,10.65,71.22,2.95
218,Mackay,75,CA,1562110868,51,53.65,-115.58,66.2,12.75
219,Dunedin,83,NZ,1562110610,79,-45.87,170.5,53.4,3.69
220,Las Palmas,20,CO,1562110871,89,9.27,-75.33,78.96,8.48
221,Dakar,40,SN,1562110872,83,14.69,-17.45,77.0,11.41
222,York,90,US,1562110799,83,39.96,-76.73,84.0,3.36
223,Batticaloa,100,LK,1562110875,79,7.71,81.69,75.0,2.51
224,Carnarvon,0,ZA,1562110876,56,-30.97,22.13,41.88,6.93
225,Half Moon Bay,90,US,1562110756,87,37.46,-122.43,73.0,13.87
226,Olga,1,US,1562110879,50,34.11,-118.17,87.8,7.85
227,Poronaysk,100,RU,1562110880,84,49.22,143.1,52.5,3.98
228,Te Karaka,100,NZ,1562110882,76,-38.47,177.87,57.18,9.98
229,Taltal,30,CL,1562110883,84,-25.41,-70.49,49.8,3.69
230,Illapel,0,CL,1562110806,80,-31.63,-71.17,46.74,4.83
231,Sibut,38,CF,1562110887,96,5.73,19.09,69.6,2.44
232,Pandan,52,PH,1562110888,69,11.72,122.09,82.56,1.77
233,Batemans Bay,30,AU,1562110889,65,-35.71,150.18,53.01,4.0
234,Vikulovo,0,RU,1562110891,95,55.07,40.96,53.22,5.23
235,Lubango,0,AO,1562110892,33,-14.92,13.49,61.32,2.42
236,Hokitika,91,NZ,1562110893,90,-42.72,170.96,55.74,5.84
237,Kahului,40,US,1562110598,41,20.89,-156.47,91.4,20.8
238,Chauk,97,MM,1562110896,92,20.89,94.82,75.9,8.84
239,Nantucket,75,US,1562110898,88,41.28,-70.1,75.99,11.41
240,Hovd,75,NO,1562110899,87,63.83,10.7,48.0,14.99
241,Noumea,75,NC,1562110901,65,-22.28,166.46,77.0,3.36
242,Kiruna,8,SE,1562110902,86,67.86,20.23,41.0,1.72
243,Ancud,40,CL,1562110903,87,-41.87,-73.83,42.8,2.24
244,Clyde River,90,CA,1562110905,100,70.47,-68.59,33.8,14.99
245,Burayevo,100,RU,1562110906,96,55.84,55.41,56.64,8.48
246,Rocha,50,UY,1562110766,77,-34.48,-54.34,48.0,16.04
247,Bathsheba,20,BB,1562110909,69,13.22,-59.52,82.4,11.41
248,Pokaran,8,IN,1562110910,61,26.93,71.92,86.88,21.23
249,Phan Thiet,94,VN,1562110912,88,10.93,108.1,76.62,7.52
250,Sao Lourenco,20,PT,1562110913,88,39.01,-9.42,64.99,10.29
251,Lima,90,PE,1562110915,93,-12.06,-77.04,60.8,11.41
252,Roald,100,NO,1562110916,81,62.58,6.12,46.4,13.87
253,Vallenar,0,CL,1562110917,78,-28.58,-70.76,47.1,2.48
254,San Francisco,40,CO,1562110868,88,1.17,-76.88,66.2,4.7
255,Te Anau,44,NZ,1562110920,92,-45.41,167.72,46.02,2.1
256,Mitsamiouli,0,KM,1562110922,75,-11.38,43.28,77.16,19.3
257,Grand-Santi,100,GF,1562110923,99,4.27,-54.38,71.76,1.5
258,Kirsanov,17,RU,1562110924,93,52.65,42.73,56.1,7.07
259,Murupara,94,NZ,1562110926,85,-38.46,176.71,63.0,1.01
260,Colares,20,PT,1562110927,88,38.8,-9.45,64.99,10.29
261,Antofagasta,100,CL,1562110928,90,-23.65,-70.4,54.12,5.5
262,Akhisar,0,TR,1562110930,71,38.92,27.84,53.6,4.7
263,Newcastle,20,AU,1562110931,81,-32.93,151.78,62.01,10.29
264,Broome,22,GB,1562110932,87,52.47,1.45,55.99,2.24
265,Lorengau,45,PG,1562110934,75,-2.02,147.27,83.1,9.31
266,Punta Alta,90,AR,1562110935,100,-27.46,-55.82,59.0,3.36
267,Kruisfontein,54,ZA,1562110937,56,-34.0,24.73,58.08,7.99
268,Shimoda,75,JP,1562110938,88,34.7,138.93,77.0,6.93
269,Tuktoyaktuk,40,CA,1562110939,76,69.44,-133.03,50.0,17.22
270,Ankazoabo,0,MG,1562110941,87,-22.29,44.51,60.78,3.62
271,Saldanha,0,PT,1562110942,56,41.42,-6.55,68.7,2.95
272,Veraval,0,FR,1562110944,77,49.65,0.71,59.0,8.05
273,Calituban,40,PH,1562110945,78,10.24,124.29,82.4,3.36
274,Dawson Creek,40,CA,1562110946,40,55.76,-120.23,68.0,11.41
275,Male,13,UA,1562110948,93,50.74,33.7,59.52,7.54
276,Guilin,75,CN,1562110949,88,25.28,110.29,78.8,4.56
277,Garissa,0,KE,1562110950,74,-0.46,39.64,73.56,17.98
278,Trelew,32,AR,1562110952,74,-43.25,-65.31,36.3,17.31
