,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,Wilmington,40,US,1562110953,58,39.75,-75.55,89.6,3.36
280,Kirakira,79,SB,1562110954,82,-10.46,161.92,78.96,6.42
281,Port Augusta,90,AU,1562110956,100,-32.49,137.76,48.2,3.36
282,Havelock,1,US,1562110718,55,34.88,-76.9,87.8,13.87
283,Lincoln,0,GB,1562110959,76,53.23,-0.54,57.2,1.12
284,Ust-Shonosha,69,RU,1562110960,95,61.15,41.34,51.78,0.76
285,Peachland,1,CA,1562110961,49,49.77,-119.75,78.8,3.36
286,Nyurba,36,RU,1562110963,56,63.29,118.35,52.32,10.94
287,Zhangjiakou,0,CN,1562110964,39,40.77,114.88,66.54,1.92
288,Narasannapeta,67,IN,1562110965,82,18.42,84.04,78.96,2.13
289,Banda Aceh,100,ID,1562110967,74,5.56,95.32,84.18,16.44
290,Norman Wells,75,CA,1562110777,72,65.28,-126.83,60.8,10.29
291,Hasaki,75,JP,1562110970,78,35.73,140.83,79.0,8.05
292,Opuwo,0,NA,1562110971,26,-18.06,13.84,51.78,7.74
293,Haines Junction,100,CA,1562110973,74,60.75,-137.51,60.96,2.24
294,Nome,40,US,1562110974,88,30.04,-94.42,84.2,9.17
295,Aljezur,0,PT,1562110975,82,37.31,-8.8,64.99,16.06
296,Durban,72,CA,1562110977,72,51.93,-101.44,61.5,13.65
297,Ahuimanu,40,US,1562110978,78,21.44,-157.84,89.6,10.29
298,Madang,96,CN,1562110979,78,35.32,102.79,45.84,3.2
299,Brae,72,GB,1562110981,81,60.4,-1.35,50.0,12.75
300,Muroto,75,JP,1562110982,83,33.37,134.14,75.2,1.12
301,Clarksburg,75,US,1562110953,83,39.24,-77.28,82.0,5.82
302,Jalu,0,LY,1562110985,62,29.03,21.55,74.1,13.02
303,Cacador,100,BR,1562110689,83,-26.78,-51.02,62.04,6.11
304,Olinda,90,AU,1562110988,93,-37.84,145.39,53.01,5.35
305,Margate,20,AU,1562110989,70,-43.03,147.26,55.99,9.17
306,Mayo,90,CA,1562110990,43,63.59,-135.9,71.6,4.7
307,Caravelas,9,BR,1562110992,88,-17.73,-39.27,73.74,11.14
308,Nicoya,75,CR,1562110993,62,10.15,-85.45,86.0,10.29
309,Port Said,0,EG,1562110995,20,25.34,30.55,84.72,8.39
310,Joshimath,0,IN,1562110996,63,30.57,79.57,54.48,3.53
311,Soe,0,EE,1562110997,93,57.91,26.05,55.4,11.41
312,Ixtapa,20,MX,1562110999,62,20.71,-105.21,87.01,10.29
313,Boralday,75,KZ,1562111000,43,43.36,76.86,73.4,8.95
314,Nuevo Progreso,1,US,1562111001,55,26.05,-97.95,91.99,12.75
315,San Patricio,100,PY,1562111003,92,-26.98,-56.83,56.64,4.88
316,Okitipupa,49,NG,1562111004,96,6.5,4.78,75.72,3.62
317,Voloshka,76,RU,1562111005,98,61.33,40.09,50.7,2.77
318,Alexandria,0,RO,1562111007,52,43.97,25.33,74.82,3.51
319,Kualakapuas,100,ID,1562111008,85,-3.01,114.39,78.42,1.7
320,Seoul,75,KR,1562110818,73,37.57,126.98,75.2,1.12
321,Mago,100,RU,1562111011,57,53.27,140.15,62.94,5.1
322,Dalbandin,0,PK,1562111012,59,28.9,64.41,74.28,1.83
323,Celestun,67,MX,1562111014,80,20.87,-90.4,82.02,25.68
324,Cabo San Lucas,5,MX,1562110942,61,22.89,-109.91,88.0,9.17
325,Chute-aux-Outardes,90,CA,1562111017,93,49.12,-68.38,59.0,5.82
326,Kalispell,90,US,1562111018,63,48.2,-114.32,62.6,13.87
327,Necochea,92,AR,1562111019,90,-38.55,-58.74,41.0,7.0
328,Jega,72,NG,1562111021,66,12.22,4.38,84.36,12.41
329,Tilichiki,87,RU,1562111022,63,60.47,166.1,58.26,11.34
330,Dingle,33,PH,1562111023,73,11.0,122.67,81.12,0.81
331,Moissala,70,TD,1562111025,77,8.34,17.77,75.18,2.73
332,Sao Filipe,97,CV,1562111026,81,14.9,-24.5,73.74,17.76
333,Merke,67,KZ,1562111027,85,42.87,73.19,66.18,12.93
334,Srednekolymsk,100,RU,1562111029,55,67.46,153.71,56.82,12.71
335,Sambava,37,MG,1562111030,95,-14.27,50.17,64.92,3.29
336,Keuruu,85,FI,1562111031,81,62.26,24.71,52.0,8.05
337,Cartagena,75,ES,1562111033,78,37.63,-1.0,75.2,8.05
338,Sioux Lookout,75,CA,1562110864,50,50.1,-91.92,80.6,9.17
339,Ulaangom,78,MN,1562111035,59,49.98,92.07,57.9,8.77
340,Anjangaon,100,IN,1562111037,85,21.16,77.31,77.52,18.95
341,Nagato,75,JP,1562111038,94,34.35,131.14,73.4,5.82
342,Shahrud,0,IR,1562111040,61,36.42,54.97,53.58,1.01
343,Mettupalayam,20,IN,1562111042,88,11.31,76.94,77.0,9.17
344,Prescott Valley,1,US,1562111043,15,34.61,-112.32,93.99,13.87
345,Adrar,33,DZ,1562111044,15,27.87,-0.29,96.8,10.29
346,Karacabey,0,TR,1562111046,83,40.21,28.36,72.0,14.99
347,Whitehorse,90,CA,1562111047,56,60.72,-135.06,70.0,5.82
348,Choya,0,RU,1562111048,95,52.01,86.55,51.24,2.77
349,Zyryanka,100,RU,1562111050,83,65.73,150.89,54.48,10.98
350,Fortuna,20,ES,1562111051,83,38.18,-1.13,75.2,3.36
351,Duluth,1,US,1562111053,27,46.77,-92.13,86.0,9.17
352,Meulaboh,100,ID,1562111054,75,4.14,96.13,81.48,3.78
353,Manokwari,89,ID,1562111055,76,-0.87,134.08,78.6,5.7
354,Luderitz,0,NA,1562111057,62,-26.65,15.16,59.0,9.17
355,Vao,100,EE,1562111058,97,59.1,26.19,53.76,10.63
356,Manturovo,95,RU,1562111060,98,58.33,44.76,53.58,6.64
357,Labuhan,100,ID,1562111061,76,-2.54,115.51,78.42,0.85
358,Puyang,67,CN,1562111062,45,35.76,115.02,83.46,7.83
359,Chengzihe,39,CN,1562111064,81,45.35,131.0,65.82,5.82
360,Kavaratti,100,IN,1562111065,77,10.57,72.64,83.82,18.39
361,Port-Cartier,75,CA,1562111066,77,50.03,-66.88,59.0,2.24
362,Izvestkovyy,100,RU,1562111068,98,48.98,131.55,60.06,5.99
363,Graham,1,US,1562111069,58,33.11,-98.59,93.2,6.93
364,Faya,5,SA,1562111070,31,18.39,42.45,73.4,3.36
365,Tezu,95,IN,1562111072,93,27.93,96.16,75.36,1.01
366,Virginia Beach,20,US,1562110973,43,36.85,-75.98,91.4,5.82
367,Pisco,1,PE,1562111074,30,-13.71,-76.2,71.6,13.87
368,Auka,40,HN,1562111076,74,14.93,-83.83,86.0,11.41
369,Honningsvag,79,NO,1562111077,92,70.98,25.97,44.4,8.41
370,Hervey Bay,5,AU,1562111079,72,-25.3,152.85,72.0,10.29
371,Kermanshah,0,IR,1562111080,40,34.32,47.07,68.0,3.36
372,Kota Kinabalu,75,MY,1562111081,83,5.98,116.07,78.01,5.82
373,Pontalina,0,BR,1562111083,46,-17.52,-49.45,68.88,4.0
374,Nelson Bay,20,AU,1562111084,81,-32.72,152.14,63.0,10.29
375,Kutum,100,SD,1562111085,64,14.2,24.66,74.46,7.27
376,Corowa,0,AU,1562111087,100,-36.0,146.39,46.0,2.24
377,Arroio Grande,57,BR,1562111088,76,-32.24,-53.09,49.08,12.28
378,North Bend,20,US,1562111090,63,43.41,-124.22,73.99,16.11
379,Bambous Virieux,75,MU,1562111091,93,-20.34,57.76,68.0,4.7
380,Khandyga,95,RU,1562111092,48,62.65,135.58,62.4,6.78
381,Culpeper,40,US,1562111069,49,38.47,-78.0,91.4,3.36
382,Saint Anthony,1,US,1562111095,26,43.97,-111.68,82.4,16.11
383,Pashkovskiy,0,RU,1562111096,82,45.02,39.1,68.0,1.86
384,Ploufragan,0,FR,1562111098,72,48.49,-2.79,59.0,10.29
385,Silva Jardim,99,BR,1562110813,94,-22.65,-42.39,69.8,4.7
386,Urucara,96,BR,1562111100,96,-2.54,-57.76,74.28,2.95
387,Carlyle,1,CA,1562111102,55,49.63,-102.27,66.0,11.41
388,Lerwick,72,GB,1562111103,81,60.15,-1.15,50.0,14.99
389,Pangnirtung,100,CA,1562111105,63,66.15,-65.72,50.7,6.62
390,Ahipara,98,NZ,1562111106,87,-35.17,173.16,62.4,17.29
391,Eureka,1,US,1562111086,72,40.8,-124.16,64.4,18.34
392,Atherton,0,AU,1562111109,68,-17.27,145.48,73.0,9.17
393,Hami,30,CN,1562111110,17,42.84,93.51,87.6,4.68
394,Prince Rupert,90,CA,1562111111,82,54.32,-130.32,60.8,6.93
395,Hambantota,100,LK,1562111113,83,6.12,81.12,82.38,18.75
396,Burriana,4,ES,1562111114,64,39.89,-0.08,75.2,5.82
397,Kurilsk,100,RU,1562111116,99,45.23,147.88,52.14,6.08
398,Nogliki,100,RU,1562111117,82,51.8,143.14,50.16,10.87
399,Teknaf,100,BD,1562111118,80,20.86,92.31,84.72,18.52
400,Tumbes,75,PE,1562111120,33,-3.57,-80.46,89.6,5.82
401,Marienburg,0,DE,1562111121,76,52.12,9.98,54.0,3.36
402,Mangit,90,UZ,1562111122,47,40.6,70.96,78.8,9.17
403,Polyarnyy,75,RU,1562111124,93,69.2,33.45,53.6,2.24
404,Turayf,0,SA,1562111125,43,31.68,38.65,71.6,13.87
405,Marsa Matruh,0,EG,1562111127,88,31.35,27.25,75.2,5.82
406,Saint-Leu,0,RE,1562111128,52,-21.15,55.28,68.0,11.41
407,Toamasina,40,MG,1562111129,94,-18.17,49.38,68.0,2.82
408,Kununurra,17,AU,1562111131,45,-15.77,128.74,68.0,3.36
409,Solnechnyy,77,RU,1562111132,55,50.72,136.64,71.4,2.42
410,Mattru,96,SL,1562111133,97,7.62,-11.83,75.36,2.33
411,Bonfim,0,BR,1562111135,68,-20.33,-44.24,64.4,2.28
412,Flinders,75,AU,1562111136,66,-34.58,150.85,63.0,8.05
413,Kaeo,88,NZ,1562111137,95,-35.1,173.78,63.0,8.99
414,Dingli,0,IN,1562111139,21,28.39,75.51,95.52,4.9
415,Mount Isa,40,AU,1562111140,28,-20.73,139.49,57.2,5.82
416,Bandarbeyla,78,SO,1562111141,60,9.49,50.81,79.14,27.83
417,Sabha,0,LY,1562111143,16,27.03,14.43,84.54,7.74
418,Laguna,40,BZ,1562111145,70,16.17,-88.94,86.0,6.93
419,Pathein,100,MM,1562111146,89,16.78,94.73,79.68,7.85
420,Itupiranga,0,BR,1562111033,61,-5.13,-49.33,82.4,2.24
421,Auki,98,NG,1562111149,72,12.18,6.51,79.32,13.62
422,Chibombo,0,ZM,1562111150,63,-14.68,28.09,56.1,5.26
423,Carutapera,58,BR,1562111152,87,-1.2,-46.02,77.88,6.38
424,Rondonopolis,0,BR,1562111153,42,-16.46,-54.64,73.74,3.58
425,Atambua,83,ID,1562111154,74,-9.11,124.89,78.42,13.6
426,Campoverde,40,EC,1562111156,71,-0.91,-78.62,53.6,13.87
427,Severo-Yeniseyskiy,16,RU,1562111157,58,60.37,93.04,74.1,4.34
428,Esperance,90,AU,1562111158,76,-33.86,121.89,51.8,9.17
429,Lancaster,1,US,1562110892,13,34.7,-118.14,90.0,17.22
430,Entre Rios,3,BR,1562111161,97,-11.94,-38.08,66.18,3.69
431,Knyaze-Volkonskoye,0,RU,1562111162,73,48.46,135.46,69.8,4.47
432,Niksar,0,TR,1562111164,82,40.59,36.95,48.0,0.87
433,Caceres,33,CO,1562111165,89,5.53,-74.53,68.52,3.27
434,Twentynine Palms,1,US,1562111166,4,34.14,-116.05,107.6,12.75
435,Shaoxing,40,CN,1562111168,100,30.0,120.58,79.0,6.71
436,Ambulu,89,ID,1562111169,87,-8.35,113.61,75.9,5.39
437,Sao Geraldo do Araguaia,28,BR,1562111170,72,-6.4,-48.55,76.08,3.04
438,Ulcinj,0,ME,1562111172,73,41.93,19.22,75.2,2.24
439,Berlevag,100,NO,1562111173,97,70.86,29.09,45.3,4.63
440,Kulhudhuffushi,98,MV,1562111174,77,6.62,73.07,82.92,11.97
441,Karpathos,0,GR,1562111176,88,35.51,27.21,71.6,13.87
442,Marfino,0,RU,1562111177,93,56.07,37.56,61.0,8.95
443,Katangli,100,RU,1562111179,82,51.71,143.23,50.16,10.87
444,Zhuhai,0,CN,1562111180,67,40.71,112.04,62.6,4.47
445,Kurumkan,0,RU,1562111181,42,54.33,110.32,67.8,4.47
446,Lazurne,13,UA,1562111183,93,46.77,34.99,69.06,5.48
447,Aasiaat,60,GL,1562111184,86,68.71,-52.87,39.72,13.76
448,Tabora,62,TZ,1562111186,44,-5.02,32.81,70.68,5.12
449,Cooma,0,AU,1562111187,63,-36.24,149.13,33.8,3.36
450,Povenets,37,RU,1562111188,98,62.85,34.83,50.52,3.69
451,Nemuro,40,JP,1562111190,88,43.32,145.57,68.0,4.7
452,Marystown,99,CA,1562111191,98,47.17,-55.16,54.66,2.68
453,Nuuk,62,GL,1562111193,86,64.17,-51.74,41.0,11.41
454,Vieques,40,PR,1562111194,74,18.43,-65.83,84.2,12.75
455,Umm Lajj,0,SA,1562111195,74,25.02,37.27,85.44,12.88
456,Kizukuri,75,JP,1562111197,72,40.81,140.39,71.01,8.05
457,Ayan,0,IR,1562111198,56,38.23,44.7,45.66,3.44
458,Methoni,0,GR,1562111199,88,36.82,21.7,77.0,5.55
459,Araguaina,33,BR,1562111201,62,-7.19,-48.21,77.52,1.86
460,Pasni,73,PK,1562111202,80,25.26,63.48,81.84,2.46
461,Sibolga,100,ID,1562111204,80,1.74,98.78,80.94,6.06
462,Kathmandu,75,NP,1562111121,94,27.71,85.32,71.6,3.36
463,Rosarito,75,CO,1562111206,69,4.91,-75.23,78.8,3.36
464,Sitka,40,US,1562111208,56,37.17,-99.65,86.0,5.99
465,Bonavista,100,CA,1562111209,80,48.65,-53.11,51.01,1.01
466,Koch Bihar,49,IN,1562111210,85,26.32,89.46,80.76,6.11
467,Aksha,0,RU,1562111212,44,50.28,113.29,72.48,3.04
468,Saint-Augustin,5,CA,1562111213,42,45.63,-73.98,84.2,5.82
469,Qaqortoq,74,GL,1562111215,61,60.72,-46.03,50.0,6.93
470,Barahona,40,DO,1562111216,74,18.21,-71.1,84.2,18.34
471,Tadine,0,NC,1562111217,67,-21.55,167.88,72.84,8.61
472,Belle Fourche,75,US,1562111219,57,44.67,-103.85,80.01,5.82
473,Slave Lake,90,CA,1562111220,67,55.28,-114.77,57.2,13.87
474,Saint-Ambroise,20,CA,1562111221,53,48.56,-71.32,75.2,2.24
475,Tamugan,75,PH,1562111223,100,7.23,125.38,77.0,3.36
476,Sheridan,75,US,1562111224,53,39.65,-105.03,81.0,8.05
477,Boende,58,CD,1562111226,74,-0.28,20.88,76.26,0.72
478,Tautira,40,PF,1562111227,58,-17.73,-149.15,82.4,5.82
479,Timberlake,1,US,1562111229,52,32.26,-81.31,95.0,3.27
480,Ondjiva,0,AO,1562111230,32,-17.07,15.73,51.24,7.87
481,Yeniseysk,1,RU,1562111231,56,58.45,92.17,76.26,5.91
482,Mangrol,1,IN,1562111233,40,25.33,76.51,92.28,5.99
483,Hailar,45,CN,1562111234,43,49.2,119.7,71.76,4.76
484,Port-Gentil,20,GA,1562111236,88,-0.72,8.78,73.4,10.29
485,Ilorin,90,NG,1562111237,89,8.5,4.55,74.64,7.56
486,Burgeo,100,CA,1562111238,94,47.61,-57.61,54.12,6.69
487,Tullamore,0,AU,1562111240,54,-32.63,147.57,51.78,10.2
488,Huanren,18,CN,1562111241,65,41.26,125.37,69.78,5.53
489,Provideniya,90,RU,1562111242,93,64.42,-173.23,48.2,8.95
490,Karnobat,0,BG,1562111244,88,42.65,26.98,71.6,1.12
491,Chubbuck,20,US,1562111245,23,42.93,-112.47,82.4,16.11
492,Stockach,72,DE,1562111246,63,47.86,9.01,69.8,11.41
493,Gweta,0,BW,1562111248,19,-20.21,25.26,51.42,9.62
494,Novobirilyussy,42,RU,1562111249,96,56.95,90.69,62.22,4.32
495,Ostrovskoye,17,RU,1562111250,97,57.81,42.24,51.42,7.07
496,Santa Rosa,61,AR,1562111067,41,-36.62,-64.29,46.92,13.38
497,Chesterfield,1,US,1562111253,44,34.74,-80.09,98.6,5.82
498,Juba,0,EE,1562111254,93,57.82,26.93,55.4,11.41
499,Baruun-Urt,26,MN,1562111256,41,46.68,113.28,71.4,5.08
500,Jumla,40,NP,1562111257,93,29.28,82.18,53.22,2.3
501,Kamenka,32,MD,1562111258,93,48.03,28.7,64.99,3.8
502,Itacare,40,BR,1562110969,94,-14.28,-39.0,75.2,3.36
503,Derzhavinsk,78,KZ,1562111261,76,51.1,66.31,57.18,10.92
504,Flin Flon,75,CA,1562111262,51,54.77,-101.88,62.6,18.34
505,Calvinia,34,ZA,1562111264,46,-31.47,19.78,47.28,3.49
506,Orsha,0,BY,1562111265,91,54.51,30.43,49.98,12.39
507,Tessalit,60,ML,1562111267,29,20.2,1.01,90.12,23.09
508,Channel-Port aux Basques,100,CA,1562111268,97,47.57,-59.14,49.8,12.59
509,Hajdunanas,0,HU,1562111269,60,47.85,21.43,75.2,11.41
510,Viedma,85,AR,1562110997,62,-40.81,-62.99,44.94,22.93
511,Oksfjord,75,NO,1562111272,70,70.24,22.35,48.2,12.75
512,Guerrero Negro,0,MX,1562111273,79,27.97,-114.04,69.42,19.44
513,De Aar,0,ZA,1562111275,63,-30.65,24.01,38.82,3.09
514,Novaci,0,RO,1562111276,82,45.17,23.66,57.72,3.69
515,Puerto del Rosario,40,ES,1562111277,68,28.5,-13.86,71.6,25.28
516,Kizlyar,0,RU,1562111279,53,43.84,46.71,70.86,3.6
517,Oneonta,79,US,1562111280,82,42.45,-75.06,75.0,1.99
518,Naze,100,NG,1562111282,98,5.43,7.07,73.92,3.58
519,Mufumbwe,36,ZM,1562111283,37,-13.68,24.8,56.46,8.37
520,Haicheng,0,CN,1562111284,67,40.85,122.74,77.34,16.17
521,Ambilobe,13,MG,1562111286,85,-13.19,49.05,69.42,3.85
522,Sinnamary,100,GF,1562111287,78,5.38,-52.96,80.22,11.79
523,Padang,96,ID,1562111289,79,-0.92,100.36,81.12,8.12
524,Grand Gaube,75,MU,1562111290,93,-20.01,57.66,68.0,4.7
525,Oistins,20,BB,1562111292,69,13.07,-59.53,82.4,11.41
526,Polunochnoye,49,RU,1562111293,89,60.87,60.43,55.56,3.02
527,Comodoro Rivadavia,40,AR,1562111157,80,-45.87,-67.48,39.2,8.05
528,Salinopolis,74,BR,1562111296,77,-0.61,-47.36,82.74,18.25
529,Ozernovskiy,100,RU,1562111297,97,51.5,156.52,43.5,6.13
530,Pasighat,95,IN,1562111298,93,28.06,95.33,73.02,1.32
531,Lavrentiya,100,RU,1562111300,96,65.58,-170.99,44.04,4.07
532,Sao Gabriel da Cachoeira,100,BR,1562111301,99,-0.13,-67.09,71.22,2.39
533,Estelle,0,FR,1562111303,51,43.97,3.47,82.4,11.41
534,Barabash,75,RU,1562111304,100,43.19,131.5,62.6,8.95
535,Jieshi,100,CN,1562111305,89,22.82,115.83,81.0,3.29
536,Puerto El Triunfo,0,SV,1562111307,49,13.27,-88.55,89.6,4.7
537,Aswan,0,EG,1562111308,26,24.09,32.9,91.4,8.05
538,Tocopilla,100,CL,1562111309,86,-22.09,-70.2,58.62,8.97
539,Sola,0,TZ,1562111311,68,-3.17,33.8,64.38,5.37
540,Najran,0,SA,1562111312,18,17.54,44.22,82.4,6.35
541,Plettenberg Bay,71,ZA,1562111313,58,-34.05,23.37,58.44,5.59
542,Setermoen,12,NO,1562111315,93,68.86,18.35,37.4,10.29
543,Zhangye,100,CN,1562111316,28,38.94,100.46,73.38,4.88
544,Belyy Yar,75,RU,1562111318,100,53.6,91.39,57.2,4.47
545,Jasidih,75,IN,1562111319,81,24.51,86.65,80.76,15.05
546,Davila,75,PH,1562111321,83,18.47,120.58,82.4,1.12
547,Altay,0,CN,1562111322,44,47.83,88.13,53.4,3.22
548,Atar,29,MR,1562111323,15,20.52,-13.05,96.78,10.27
549,Onega,98,RU,1562111325,95,63.91,38.09,52.14,5.41
550,Mwinilunga,0,ZM,1562111326,49,-11.73,24.43,53.22,5.17
551,Timbuktu,0,ML,1562111327,9,16.77,-3.01,97.68,5.99
552,Oranjemund,0,ZA,1562111329,75,-28.55,16.43,56.46,14.79
553,Gorin,71,BF,1562111330,42,12.34,-0.67,90.48,12.35
554,Douglas,75,US,1562111332,60,58.28,-134.39,71.6,11.41
555,Los Zacatones,90,MX,1562111333,59,22.95,-102.05,66.2,12.75
556,Coihaique,90,CL,1562111334,93,-45.58,-72.07,35.6,1.54
